i,j,delta,beta,priority,integral,max_delta,pi
1,2,360,0.1,0.05,2442.1,0.94076,0.13249
1,2,360,0.12,0.05,2313.3,0.94076,0.13249
1,2,360,0.13,0.05,2251.2,0.94076,0.13249
1,2,360,0.15,0.05,2136,0.94076,0.13249
1,2,360,0.16,0.05,2087.7,0.94089,0.13237
1,2,360,0.17,0.05,2047.1,0.9411,0.13218
1,2,360,0.18,0.05,2012.3,0.94112,0.13216
1,2,360,0.19,0.05,1981.7,0.94107,0.13221
1,2,360,0.2,0.05,1954.7,0.94103,0.13224
1,2,420,0.02,0.05,2862.3,1.0858,-0.0012523
1,2,420,0.04,0.05,2753.6,1.0884,-0.0036542
1,2,420,0.06,0.05,2671.9,1.0592,0.023298
1,2,420,0.07,0.05,2610.2,1.0338,0.046659
1,2,420,0.08,0.05,2557.1,1.0087,0.069887
1,2,420,0.09,0.05,2486.6,0.9835,0.093081
1,2,420,0.12,0.05,2233.9,0.94285,0.13057
1,2,420,0.14,0.05,2112.1,0.94176,0.13157
1,2,420,0.15,0.05,2060.6,0.94076,0.13249
1,2,420,0.16,0.05,2015.9,0.94089,0.13237
1,2,420,0.17,0.05,1982,0.9411,0.13218
1,2,420,0.19,0.05,1926.3,0.94107,0.13221
1,2,480,0.01,0.05,2906.6,1.0857,-0.0011971
1,2,480,0.02,0.05,2865,1.0871,-0.0024194
1,2,480,0.05,0.05,2685.3,1.0844,2.3022e-09
1,2,480,0.07,0.05,2576,1.0338,0.046659
1,2,480,0.08,0.05,2529.8,1.0087,0.069887
1,2,480,0.09,0.05,2468.1,0.9835,0.093081
1,2,480,0.12,0.05,2227.1,0.94183,0.1315
1,2,480,0.13,0.05,2161.6,0.94221,0.13115
1,2,480,0.15,0.05,2028.1,0.94204,0.13131
1,2,480,0.16,0.05,1961.5,0.94164,0.13168
1,2,480,0.17,0.05,1914.5,0.94278,0.13063
1,2,480,0.18,0.05,1883.7,0.94443,0.12911
1,2,480,0.2,0.05,1832.9,0.94321,0.13024
1,2,540,0.03,0.05,2814.9,1.0871,-0.0024402
1,2,540,0.04,0.05,2750.3,1.0884,-0.0036542
1,2,540,0.05,0.05,2672.7,1.0844,6.2997e-05
1,2,540,0.06,0.05,2610.1,1.0592,0.023298
1,2,540,0.07,0.05,2542.3,1.0338,0.046659
1,2,540,0.09,0.05,2451.1,0.9835,0.093081
1,2,540,0.1,0.05,2354.3,0.94648,0.12722
1,2,540,0.11,0.05,2304.1,0.94493,0.12865
1,2,540,0.12,0.05,2255.4,0.9418,0.13153
1,2,540,0.14,0.05,2149.8,0.94753,0.12625
1,2,540,0.15,0.05,2094.9,0.9437,0.12978
1,2,540,0.16,0.05,2040.1,0.94393,0.12956
1,2,540,0.17,0.05,1994.4,0.94756,0.12623
1,2,540,0.18,0.05,1950.5,0.94366,0.12982
1,2,540,0.2,0.05,1862.4,0.94734,0.12643
1,2,600,0.01,0.05,2905.4,1.0845,-8.9642e-05
1,2,600,0.02,0.05,2862.7,1.0858,-0.0012523
1,2,600,0.03,0.05,2809.4,1.0871,-0.0024402
