i,j,delta,beta,priority,integral,max_delta,pi,L_i,v_i,w_i,q_max_i,rho_max_i,L_j,v_j,w_j,q_max_j,rho_max_j
1,2,180,0.2,0.05,2209.73,0.941028,0.132245,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,240,0.01,0.05,2926.02,1.08454,-8.96419e-05,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,240,0.02,0.05,2907.18,1.0858,-0.00125231,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,240,0.04,0.05,2852.83,1.0884,-0.0036542,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,240,0.05,0.05,2812.72,1.08444,-2.04755e-16,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,240,0.06,0.05,2816.02,1.05917,0.0232979,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,240,0.08,0.05,2784.86,1.00865,0.069887,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,240,0.09,0.05,2730.26,0.983499,0.093081,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,240,0.1,0.05,2613.27,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,240,0.11,0.05,2538.64,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,240,0.13,0.05,2384.47,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,240,0.14,0.05,2313.26,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,240,0.15,0.05,2250.26,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,240,0.16,0.05,2195.06,0.940893,0.13237,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,240,0.17,0.05,2143.95,0.9411,0.132179,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,240,0.19,0.05,2050.52,0.94107,0.132206,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,240,0.2,0.05,2009.07,0.941028,0.132245,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,300,0.01,0.05,2917.44,1.08454,-8.9642e-05,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,300,0.02,0.05,2889.3,1.0858,-0.00125231,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,300,0.03,0.05,2858.61,1.08709,-0.00244022,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,300,0.04,0.05,2824.32,1.0884,-0.0036542,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,300,0.05,0.05,2784.52,1.08444,-2.04755e-16,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,300,0.06,0.05,2772.65,1.05917,0.0232979,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,300,0.08,0.05,2714.55,1.00865,0.069887,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,300,0.09,0.05,2642.06,0.983499,0.093081,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,300,0.1,0.05,2514.5,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,300,0.11,0.05,2435.01,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,300,0.12,0.05,2357.43,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,300,0.13,0.05,2282.97,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,300,0.14,0.05,2216,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,300,0.15,0.05,2157.72,0.940759,0.132494,0.61,103,29,1806,79,0.23,103,28,1874,85
1,2,300,0.16,0.05,2106,0.940893,0.13237,0.61,103,29,1806,79,0.23,103,28,1874,85
