rho0;rho1;rho2;rho3;rho4;rho5;rho6;rho7;rho8;rho9;rho10;rho11;rho12
3.097883869738681;3.0996885934849554;3.1023751913321984;3.1067204387704104;3.0996885934849554;3.1115926379256433;3.0863175731787016;3.348920693992252;3.3525397282241625;2.90737977120738;2.9121820066084267;2.8877056305520328;0.0
3.095688794223726;3.0974435868923678;3.100114410464012;3.104418172895226;3.0974435868923678;3.1092713118754247;3.0840436282434673;3.346516254118774;3.3501858848212938;2.905360750394784;2.9102191881706974;2.885784043042895;0.0
3.0935670009402845;3.095260692630651;3.0978669037002917;3.1021378872449428;3.095260692630651;3.10694618368629;3.081757412545954;3.34408559181284;3.347799133144858;2.9033112852028724;2.9082333981273676;2.8838502689607184;0.0
3.091393043304359;3.093153805624519;3.0956737685681595;3.0998749690088365;3.093153805624519;3.1046418691336157;3.079463090582247;3.341634453344074;3.345383821709399;2.901234121748387;2.906221582130451;2.8818985500676586;0.0
3.089236925543207;3.0909634853470256;3.0935532115159132;3.0976490243309054;3.0909634853470256;3.1023594559066296;3.0771747247640207;3.339168036212234;3.3429452081384556;2.8991334698335436;2.9041830566568296;2.879924617952354;0.0
3.0869992054569124;3.0888157116780244;3.0913739484816367;3.0954789177468305;3.0888157116780244;3.1000948167195754;3.074900019410559;3.3366959987079916;3.340488510950669;2.8970140363577985;2.9021191382330263;2.8779261618129865;0.0
3.0847636947007104;3.0865560481421;3.089221183851146;3.093303959751383;3.0865560481421;3.0978654296685297;3.072640905019872;3.3342274160354495;3.338021836321285;2.894880265702555;2.900032529133231;2.875902841107804;0.0
3.0824382823410876;3.0843264297307096;3.08697846344239;3.0911407605861343;3.0843264297307096;3.0956900576161295;3.070406842561265;3.331768259473707;3.335553920688221;2.8927402959720148;2.8979266436833915;2.8738559596901476;0.0
3.0800651353413975;3.081977647349899;3.0847467684072343;3.088935428251743;3.081977647349899;3.093515118406702;3.068211759266019;3.3293264016815574;3.3330917020121142;2.8906014564432208;2.8958068269600905;2.8717879538809967;0.0
3.0776666428998496;3.079598556324831;3.0824165439880717;3.086716128025486;3.079598556324831;3.0913508696884344;3.0660367791917453;3.326912922062282;3.330642726187362;2.888469194526413;2.893679235042481;2.8697028174725356;0.0
3.07525469290584;3.0771953306874753;3.0800451981603447;3.0844380562361153;3.0771953306874753;3.0891492228177326;3.063877243136977;3.324524887423219;3.3282168373255208;2.886350521717901;2.8915497343553582;2.8676056905974403;0.0
3.0728355974172175;3.074781252287615;3.0776470253686328;3.082110564560167;3.074781252287615;3.086931462816971;3.061707453419373;3.3221584248936664;3.3258155690963815;2.884254625877327;2.8894246593487787;2.8655020785244223;0.0
3.0704127079182495;3.0723609328232313;3.075235467955685;3.0797456235276153;3.0723609328232313;3.084658768512711;3.059524616858795;3.319799009920624;3.3234369387206315;2.88217945287122;2.887311510747352;2.8633979052874428;0.0
