v0;v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12
102.94535836175878;102.97902129423134;102.96677512769674;102.94783705449586;102.97270557598182;102.97130043795018;103.9468585026676;95.94761843438305;95.9655642513704;102.98357533947713;102.9786697719083;104.0377139504779;103.0
102.94782098486142;102.97948922056342;102.96863707660002;102.94751614347696;102.97199621323979;102.97085999709029;103.94613408813738;95.94688082203575;95.96468101209922;102.98304128888849;102.96389530970465;104.008344445656;103.0
102.950663002031;102.98053017474565;102.96951437747127;102.94893126683864;102.97181666696318;102.97012621918056;103.94535396548375;95.94614362445738;95.9640443518992;102.98265489328388;102.95439594751193;103.98889434245068;103.0
102.95370857062753;102.98160922494334;102.97094828368331;102.95033488300031;102.97256403489648;102.96989251344301;103.94427218436283;95.94538149430055;95.9634941165733;102.98237699070006;102.94822579377369;103.97612826122364;103.0
102.95377307110708;102.98277445746258;102.97251784407496;102.95220125840537;102.97331774268984;102.97061180674247;103.94350213944465;95.94446924978038;95.96296303048109;102.98211267275146;102.94417918723944;103.96777472311136;103.0
102.95379823409388;102.98252031642316;102.97421611518654;102.9543994392023;102.974316720068;102.971410834022;103.94377887492911;95.9436143771057;95.9623719424838;102.98185586799376;102.94140779957576;103.96230424595646;103.0
102.95225566225417;102.98259414618664;102.9741692914093;102.95686198074846;102.97549478936011;102.97245797927486;103.94466438675703;95.9432642047447;95.96178535986635;102.98155394920481;102.93940136137186;103.95867148863114;103.0
102.9498783108465;102.98185254771546;102.97425370093501;102.95798096329774;102.97681532833926;102.9737009382603;103.94609186198593;95.94346953209288;95.96142460184534;102.98127460862887;102.93778287946864;103.95619049560065;103.0
102.9486035859972;102.98091838982859;102.97334463851266;102.95857831189925;102.97742591801519;102.97509954862588;103.94797847502427;95.94422842725534;95.9613896491268;102.98114315428941;102.93642615066413;103.95439367239774;103.0
102.94636558814777;102.98054844506207;102.97203853391498;102.9580945974737;102.97775060420761;102.97580975712746;103.95024452831139;95.94550241593647;95.9617146153384;102.98117538723085;102.9354356586458;103.95301619069244;103.0
102.9436135893644;102.97958894384931;102.97137127386284;102.95676840549267;102.97749867258479;102.9761848315113;103.95206313856991;95.94723412209241;95.9623943403744;102.98138830941163;102.93489579843741;103.95198063906078;103.0
102.94213657577838;102.97853222862355;102.9700719899877;102.95558333578238;102.976792633423;102.97596520327635;103.95334109933309;95.94901815460064;95.96340152861775;102.98177099449565;102.93488080292931;103.95128660539515;103.0
102.94133680061982;102.97809731377707;102.9685515704192;102.95393300798555;102.97615527330635;102.97525172515755;103.95378904161886;95.95058705714993;95.96454650905643;102.98230909793998;102.93541897472439;103.95096452793521;103.0
102.94089676989621;102.97782831028778;102.96776950724231;102.951877839549;102.97527232588959;102.97456793038961;103.95335316563916;95.95166144112736;95.96564409860123;102.9828764203778;102.93650656180466;103.95103993919813;103.0
