phi0;phi1;phi2;phi3;phi4;phi5;phi6;phi7;phi8;phi9;phi10;phi11;phi12
336.54;336.8453799557517;336.95118233551676;337.08004245230444;336.8110214300958;336.4157026608691;335.4402680432481;325.16807119210677;288.78111944605246;247.89243615834948;225.6534583777508;128.29904699409042;64.01255251327004
336.38;336.702146187799;336.81956826406986;336.9716062429161;336.95355828857055;336.8057202205468;336.340534760228;330.19777209850366;304.9530979998544;274.486701711327;257.4675515916628;168.0907310120151;99.05340904369623
336.21;336.5510484767639;336.6734997392401;336.8436657868608;336.963120733517;336.95157578574265;336.7698725954685;333.2055278274082;316.1729531548096;294.3022440128082;281.8143913461824;204.62173307433144;136.68381514802098
336.04;336.3910849380268;336.52117510113567;336.70047050168984;336.89982927515496;336.96296591620967;336.937573568571;334.95078138615713;323.7429863426312;308.5270954872807;299.6789583553832;236.17270054258796;173.71496538039148
335.87;336.2264139516116;336.35934796586736;336.5495928361908;336.7942019414774;336.90067593509247;336.9610091582375;335.9235986506159;328.7242285841983;318.42360986474444;312.3367100857365;262.12962337877013;207.75901389647342
335.7;336.05924347339675;336.19398318967967;336.38950115609833;336.66459938054885;336.79562975365235;336.9053252694925;336.4315585978506;331.92394861371724;325.1231992757713;321.04435838070617;282.65077389788735;237.39498552204392
335.54;335.8907458515394;336.02637218995574;336.22497214840945;336.5188426052484;336.6663564928318;336.80408299232823;336.6635347459238;333.9273308288876;329.54645087768733;326.8793668833688;298.34338977776963;262.06271084221015
335.37;335.7262339084221;335.8576582665634;336.05784963435116;336.36313963686155;336.520820760829;336.6769698252303;336.732353096329;335.1434214586815;332.3958036914761;330.69477870857446;310.0069042296613;281.8383429664145
335.21;335.5591478766941;335.69417144423784;335.8893879441376;336.2013861890294;336.3652541346925;336.532853753247;336.70523511048026;335.8496132976359;334.1828721579512;333.1281894480032;318.4626624492171;297.1922757304484
335.04;335.39538543908253;335.52620734451557;335.72511262150954;336.0360784769725;336.20358365190225;336.3781695174843;336.6208299261476;336.2298896589001;335.2669314357949;334.6369716580677;324.4569056272924;308.7861972123768
334.88;335.22869736883894;335.3634699500759;335.55773318090183;335.87131776137227;336.0383247149505;336.21703740140055;336.5020131535441;336.4036408887879;335.8932457272454;335.5381641178719;328.61780563193463;317.32788314084235
334.7;335.0651462350028;335.1958180676193;335.39426003731467;335.7051695525839;335.873557318221;336.0520964811106;336.36247700371865;336.4473618953462;336.225210059956;336.0461280868368;331.4463648543613;323.481719299509
334.53;334.89388001366723;335.03326735796355;335.22727047131286;335.5404386880123;335.7074276260695;335.8873157124939;336.2105016065847;336.40963527684505;336.3696990585838;336.3023147983823;333.3264268104922;327.8230355348583
334.35;334.7232076939599;334.8598748886094;335.0640162174323;335.3745110834853;335.5426780032736;335.721289969647;336.05225615938394;336.3211314233961;336.39567383468864;336.3987117261706;334.5427619801457;330.82278759285583
334.17;334.54816036937945;334.6898661802894;334.8922306220993;335.20999991474326;335.37676619543646;335.55644200785076;335.89020115122645;336.2016313060574;336.3471909655553;336.39436585363393;335.3013446144336;332.8504465880243
333.98;334.37079006862314;334.5135896280705;334.7219402829946;335.04163449734443;335.21223624417786;335.3906121809809;335.726778595148;336.06321790391024;336.2525180162884;336.3268795554103;335.7480953590274;334.18636584770235
333.8;334.1874960018281;334.33595249494147;334.54661252599146;334.872249188301;335.043922260233;335.2259820600964;335.5621773377403;335.91368932223816;336.1293959919774;336.2205012424998;335.9846619154855;335.03762302368665
333.64;334.00574696636227;334.15127835495747;334.36934142143144;334.69971536001975;334.8745513176181;335.05795195807195;335.3975619475568;335.75746177357246;335.9890989710088;336.09017012022474;336.08105656105084;335.5538287089439
