i;j;delta;beta;priority;L_x;v_x;w_x;q_max_x;rho_max_x;L_y;v_y;w_y;q_max_y;rho_max_y;integ_pred;pi_pred
1;2;240;0,2;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;2580,29;-0,058118
1;2;300;0,01;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;5666,4;-3,28206
1;2;300;0,02;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;5369,33;-3,11684
1;2;300;0,03;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;5072,27;-2,95161
1;2;300;0,04;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4775,2;-2,78639
1;2;300;0,05;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4478,13;-2,62117
1;2;300;0,06;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4181,07;-2,45595
1;2;300;0,07;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3884;-2,29072
1;2;300;0,08;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3616,8;-2,13321
1;2;300;0,09;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3720,44;-2,10454
1;2;300;0,1;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3827,1;-2,07696
1;2;300;0,11;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3933,76;-2,04937
1;2;300;0,12;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4021,49;-2,01944
1;2;300;0,13;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4108,33;-1,9894
1;2;300;0,14;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4195,17;-1,95937
1;2;300;0,15;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4279,06;-1,90499
1;2;300;0,16;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4351,04;-1,75175
1;2;300;0,17;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4236,42;-1,51718
1;2;300;0,18;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3570,57;-1,06856
1;2;300;0,19;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;2994,02;-0,87184
1;2;300;0,2;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;2530,65;-0,00570211
1;2;360;0,01;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;5652,96;-3,28529
1;2;360;0,02;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;5355,9;-3,12007
1;2;360;0,03;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;5058,83;-2,95485
1;2;360;0,04;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4761,76;-2,78962
1;2;360;0,05;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4464,7;-2,6244
1;2;360;0,06;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4167,63;-2,45918
1;2;360;0,07;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3870,57;-2,29396
1;2;360;0,08;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3602,66;-2,13627
1;2;360;0,09;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3641,42;-2,08426
1;2;360;0,1;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3748,08;-2,05667
1;2;360;0,11;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3854,07;-2,029
1;2;360;0,12;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3940,91;-1,99897
1;2;360;0,13;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4027,75;-1,96893
1;2;360;0,14;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4114,59;-1,93889
1;2;360;0,15;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4198,9;-1,88791
1;2;360;0,16;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4270,87;-1,73468
1;2;360;0,17;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4177,71;-1,50946
1;2;360;0,18;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3511,77;-1,06042
1;2;360;0,19;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;2938,22;-0,863046
1;2;360;0,2;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;2481,01;0,0467153
1;2;420;0,01;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;5639,53;-3,28852
1;2;420;0,02;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;5342,46;-3,1233
1;2;420;0,03;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;5045,39;-2,95808
1;2;420;0,04;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4748,33;-2,79286
1;2;420;0,05;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4451,26;-2,62763
1;2;420;0,06;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;4154,2;-2,46241
1;2;420;0,07;0,05;0,61;103;40;1933;67;0,23;103;37;1976;73;3857,13;-2,29719
