generation;i;j;delta;beta;integral;pi;fitness
2;2;4;570;0.0959748883089598;203.1571239354216;0.18394078142746734;8601.114096989342
2;2;8;418;0.0959748883089598;215.92993387118847;0.1876766490958793;8384.664859152093
2;2;4;667;0.03355039021397375;237.53557594336021;0.179802318045971;7805.942061925687
2;2;4;667;0.16382464051884277;195.10618852450867;0.2148898897433159;9423.211845350846
2;2;10;418;0.0959748883089598;218.15918207128595;0.18810583065296757;8345.925511248375
2;2;4;423;0.0959748883089598;206.83993869086072;0.18334295693600128;8501.515377400226
3;2;4;474;0.1415668989617927;198.2569773599095;0.21363218953762142;9316.602461546805
3;2;4;90;0.0959748883089598;315.8587955009917;0.17146285147349963;6595.2287049266615
3;2;4;667;0.13733822780002447;197.95889093146562;0.20837251735321896;9219.004209053863
3;2;4;667;0.03163705273060182;239.40481559092672;0.1792240906572458;7761.507231500365
3;2;4;424;0.0959748883089598;206.5231243770554;0.18597510354571595;8561.574855820818
3;2;4;242;0.0959748883089598;253.40905357686898;0.18576367698708135;7661.46246190127
3;2;4;334;0.0959748883089598;216.55283989156544;0.16970310294018004;8011.872661059984
3;2;4;667;0.031871601422296614;239.16802262839175;0.17929508470507305;7767.062657888639
3;2;6;667;0.0959748883089598;207.35446781992334;0.18882942528997523;8599.248034257065
3;2;4;667;0.09736781432259226;205.70255241294845;0.1979781379994769;8820.951149534152
4;2;4;370;0.16382464051884277;194.61105615134073;0.2191434313003441;9521.322831930018
4;2;4;420;0.13733822780002447;199.29586336129321;0.19415702304794635;8900.806071946303
4;2;4;182;0.1415668989617927;256.65601674224655;0.19363610785017957;7768.987721680674
4;2;5;667;0.16382464051884277;196.11120012469;0.2077197644452666;9253.54311607781
4;2;4;667;0.12407268620788761;199.5787206023398;0.20500010533283441;9110.556322967645
4;2;4;488;0.1415668989617927;194.74349924581207;0.17874404197444588;8709.840434405947
4;2;4;474;0.15279933015264388;197.02892333082926;0.21694446408277912;9414.286249241453
4;2;4;667;0.1977365617364918;191.9886487441605;0.2228408109434372;9665.457492929567
4;2;4;509;0.1415668989617927;197.31499349830682;0.169411665107775;8456.271884882774
4;2;4;667;0.09459881223851928;206.43815794410264;0.19723149296180334;8788.695558905652
5;2;4;696;0.16382464051884277;194.39835477102122;0.12451650075697801;7634.406471845608
5;2;4;667;0.04512725830280154;228.29130613434748;0.18325738279913173;8045.515953544998
5;3;4;667;0.16382464051884277;195.2538263575371;0.21780264934806617;9477.591543490607
5;2;4;335;0.1977365617364918;195.61828246080086;0.16523291691232597;8416.65496463744
5;2;4;667;0.11794476268116581;200.70768101956034;0.20341680700151973;9050.70649536594
5;2;12;667;0.1977365617364918;417.2862506968678;0.1693524157700745;5783.484810325539
6;3;4;557;0.16382464051884277;194.69580500412187;0.20574569454435448;9251.131386579045
6;2;4;117;0.1977365617364918;261.2413622171855;0.1431619952257294;6691.117662894367
6;2;4;667;0.035377411687452544;235.8498517969308;0.18035253417991393;7847.036387981975
6;2;10;667;0.1977365617364918;210.36522804488158;0.17687582267083754;8291.153778814696
6;2;4;370;0.07699042950684672;219.33368556945257;0.19434081882856227;8446.079571386561
6;3;11;667;0.16382464051884277;215.9244808808101;0.1733394371757012;8098.037576072283
6;2;8;370;0.16382464051884277;209.90388507465914;0.1831775851710526;8427.636940072663
6;2;8;370;0.16382464051884277;209.90388507465914;0.1831775851710526;8427.636940072663
7;3;6;667;0.16382464051884277;197.6108321267453;0.20701729058854496;9200.797150585218
7;2;4;370;0.14068775814829046;198.44215426585717;0.21284160597333449;9296.084004730335
7;3;4;661;0.16382464051884277;193.3114059356768;0.18734684818811548;8919.937466033469
7;2;10;667;0.1977365617364918;210.36522804488158;0.17687582267083754;8291.153778814696
7;2;4;51;0.16382464051884277;328.5761751228947;0.12984563061808652;5640.346907699723
7;3;4;370;0.17448750513126807;191.9686307171685;0.22391902951335593;9687.565008909565
7;3;4;370;0.1754722930624734;191.84575407673276;0.22418672055771302;9696.255297074043
7;2;4;410;0.16382464051884277;193.2245839451567;0.19861748020069736;9147.674500994095
7;2;4;486;0.16382464051884277;193.2993406585231;0.17604446873148072;8694.212763075986
7;3;4;224;0.16382464051884277;229.51850093853284;0.18224737314182668;8001.89470635225
8;2;4;370;0.12645122262561415;201.84679497057417;0.20885804265469302;9131.413409572564
8;2;4;656;0.16382464051884277;193.34292520710417;0.19487933091488446;9069.743804441556
8;2;7;667;0.1977365617364918;200.37116144642374;0.19649964866731512;8920.731125390128
8;3;4;270;0.17448750513126807;201.70970338036585;0.20473990191298846;9052.417742425863
8;3;4;370;0.1714488692389341;192.35411128565468;0.22309062484110403;9660.557630555948
8;3;4;667;0.1482534328513023;196.92103558587297;0.2137267586397056;9352.712814023922
8;2;4;370;0.0974197761552669;210.02271300185484;0.20046958686544902;8770.78152085667
8;2;4;88;0.1977365617364918;275.4331681592351;0.17418103997626277;7114.265600524219
8;2;11;370;0.1754722930624734;215.9903873267283;0.16774599525994677;7984.755576947149
8;2;4;370;0.10539109139868004;207.55919736011458;0.20280940328568456;8874.090682021284
8;2;4;370;0.06704722873162376;224.80647559661114;0.19128659871748474;8274.002413829307
9;3;4;370;0.057977606410719966;230.54740649078397;0.18923878878349157;8122.278483773271
9;2;4;370;0.17448750513126807;193.29329544751354;0.22197882008841177;9613.06158491851
