i,j,delta,beta,priority,integral,max_delta,pi
1,2,120,0.15,0.05,2642.5882449173932,0.9407586254740123,0.13249355262928805
1,2,120,0.16,0.05,2609.8711837367496,0.9408928249079762,0.13236980263535258
1,2,120,0.17,0.05,2579.8784058347123,0.9410998809104077,0.13217886905025186
1,2,120,0.18,0.05,2552.089341935412,0.9411225547334541,0.13215796072462338
1,2,120,0.19,0.05,2525.962247947469,0.9410700367125333,0.13220638942941357
1,2,120,0.2,0.05,2501.1385212832242,0.9410284239070574,0.13224476205344912
1,2,180,0.01,0.05,2934.107935684588,1.084536999214582,-8.951685846068275e-05
1,2,180,0.02,0.05,2923.8031734549695,1.085797878280884,-0.0012522175659037045
1,2,180,0.03,0.05,2911.8098838626624,1.0870861410954562,-0.002440169785832904
1,2,180,0.04,0.05,2887.0470098164337,1.0884026629497723,-0.003654180655144026
1,2,180,0.05,0.05,2859.0510067082273,1.0844399235594357,-2.0475509993787276e-16
1,2,180,0.06,0.05,2894.725509942081,1.0591747378773624,0.023297911791319643
1,2,180,0.07,0.05,2904.8866443364386,1.033840680960518,0.04665933215814904
1,2,180,0.08,0.05,2892.641098020463,1.008651657128032,0.06988701244292561
1,2,180,0.09,0.05,2836.3931935620703,0.9834992235057258,0.09308095161453854
1,2,180,0.1,0.05,2723.6481900100175,0.9407586254740125,0.13249355262928794
1,2,180,0.11,0.05,2662.495312956244,0.9407586254740125,0.13249355262928794
1,2,180,0.12,0.05,2597.1115965694507,0.9407586254740125,0.13249355262928794
1,2,180,0.13,0.05,2529.8065468161944,0.9407586254740123,0.13249355262928805
1,2,180,0.14,0.05,2468.544327991987,0.9407586254740123,0.13249355262928805
1,2,180,0.15,0.05,2419.859428537073,0.9407586254740122,0.13249355262928816
1,2,180,0.16,0.05,2372.7005448772165,0.9408928249079763,0.13236980263535247
1,2,180,0.17,0.05,2328.036955128228,0.9410998809104076,0.13217886905025197
1,2,180,0.18,0.05,2286.0861765968807,0.9411225547334541,0.13215796072462338
1,2,180,0.19,0.05,2246.815915209521,0.9410700367125332,0.13220638942941368
1,2,180,0.2,0.05,2209.7309994875914,0.9410284239070574,0.13224476205344912
1,2,240,0.01,0.05,2926.0157675369123,1.0845371347828625,-8.964187071600114e-05
1,2,240,0.02,0.05,2907.182661806617,1.085797981573097,-0.001252312815267695
1,2,240,0.03,0.05,2886.2240561643935,1.0870861970054573,-0.002440221342401284
1,2,240,0.04,0.05,2852.826687399785,1.0884026820301467,-0.003654198249824909
1,2,240,0.05,0.05,2812.7156572312797,1.0844399235594357,-2.0475509993787276e-16
1,2,240,0.06,0.05,2816.018325869582,1.0591747378773624,0.023297911791319643
1,2,240,0.07,0.05,2809.461640241067,1.033840680960518,0.04665933215814904
1,2,240,0.08,0.05,2784.855537449255,1.0086516571280322,0.0698870124429254
1,2,240,0.09,0.05,2730.2607415773723,0.9834992235057258,0.09308095161453854
