i,j,delta,beta,priority,integral,max_delta,pi
1,2,240,0.19,0.05,9.837538487126254,0.06288846364428877,0.6971105077179104
1,2,240,0.2,0.05,9.820558337532944,0.0641476427644245,0.6910459276297822
1,2,300,0.01,0.05,502.98766750974943,0.2076284093475659,2.4434792020131687e-09
1,2,300,0.02,0.05,500.52618965846375,0.20762840884417375,4.867965146110429e-09
1,2,300,0.03,0.05,498.12884591997835,0.20762840847934189,6.62510358117593e-09
1,2,300,0.04,0.05,495.78064082474657,0.2081247198960438,-0.0023903763530676767
1,2,300,0.05,0.05,492.9378913243102,0.20762840721028697,1.2737248434547003e-08
1,2,300,0.06,0.05,440.85951904639603,0.18660751140463983,0.10124288128465637
1,2,300,0.07,0.05,386.5823122085009,0.16563161848236763,0.20226900259883937
1,2,300,0.08,0.05,333.53112414314813,0.14468581684026494,0.3031501953832969
1,2,300,0.09,0.05,281.9043652678508,0.12384708746722298,0.40351569636461654
1,2,300,0.1,0.05,231.42907417040257,0.10297686430951956,0.5040328807532476
1,2,300,0.11,0.05,182.59385426077404,0.08190218680329786,0.605534777921123
1,2,300,0.12,0.05,135.70813616891317,0.06335190896744544,0.6948784175936323
1,2,300,0.13,0.05,90.3272268089308,0.06567720094971445,0.6836791217752324
1,2,300,0.14,0.05,45.75265194307726,0.06600146947662078,0.6821173483785526
1,2,300,0.15,0.05,10.036887541263953,0.06581216461845182,0.6830290967192602
1,2,300,0.16,0.05,10.001786070290175,0.06522478834434794,0.6858580750585653
1,2,300,0.17,0.05,9.966894987834158,0.06535265877480419,0.6852422131418575
1,2,300,0.18,0.05,9.92683638140264,0.062456023122336043,0.6991932695242302
1,2,300,0.19,0.05,9.889140704617667,0.06471341025454778,0.6883210236028301
1,2,300,0.2,0.05,9.85110134967209,0.06384582411029041,0.6924995757810396
1,2,360,0.01,0.05,502.1110769587073,0.20735737268523374,0.0013053953929391244
1,2,360,0.02,0.05,498.8074606817233,0.20708085148635863,0.0026372034969859444
1,2,360,0.03,0.05,495.5840444576797,0.20757980036239848,0.00023411773242927947
1,2,360,0.04,0.05,492.4317911403909,0.20851570330708022,-0.004273468417923562
1,2,360,0.05,0.05,488.59625127362517,0.2067668453537116,0.004149550159306755
1,2,360,0.06,0.05,437.8382308843693,0.18660751140463983,0.10124288128465637
1,2,360,0.07,0.05,384.15347959319496,0.16563161848236763,0.20226900259883937
1,2,360,0.08,0.05,331.7013533498427,0.14468581684026494,0.3031501953832969
1,2,360,0.09,0.05,280.67341345242187,0.12384708746722298,0.40351569636461654
1,2,360,0.1,0.05,230.81062644427283,0.10297686430951956,0.5040328807532476
1,2,360,0.11,0.05,182.42400326892562,0.08190218680329786,0.605534777921123
1,2,360,0.12,0.05,135.7218774227537,0.062220288778335395,0.7003286360386941
1,2,360,0.13,0.05,90.35296992436722,0.06431463866746386,0.6902416258333371
1,2,360,0.14,0.05,45.7934596196062,0.06436894609027305,0.6899800651786697
1,2,360,0.15,0.05,10.088751802853977,0.06443602931857294,0.6896569724557289
1,2,360,0.16,0.05,10.062866200115504,0.06490252821927389,0.687410175396372
1,2,360,0.17,0.05,10.022515109722281,0.06363344996910118,0.693522432630628
1,2,360,0.18,0.05,10.006003200141695,0.06406263224844107,0.6914553634870566
1,2,360,0.19,0.05,9.975019264121551,0.06408855774092728,0.6913304986262971
1,2,360,0.2,0.05,9.954160454342984,0.06529479350790306,0.6855209094288519
1,2,420,0.01,0.05,501.1321532426993,0.20762841046977443,-2.961409855984554e-09
1,2,420,0.02,0.05,496.8852187003025,0.20762842010060228,-4.934633311461927e-08
1,2,420,0.03,0.05,492.739974213595,0.20775422741338473,-0.0006059746764474433
1,2,420,0.04,0.05,488.6895297608974,0.2088327003162946,-0.005800220028822676
1,2,420,0.05,0.05,483.73066801604637,0.2076284098549016,0.0
1,2,420,0.06,0.05,434.1954001914738,0.18660751140463983,0.10124288128465637
1,2,420,0.07,0.05,380.9763996110169,0.16563161848236763,0.20226900259883937
1,2,420,0.08,0.05,328.99821894482926,0.14468581684026494,0.3031501953832969
1,2,420,0.09,0.05,278.44687667198576,0.12384708746722298,0.40351569636461654
1,2,420,0.1,0.05,229.05674597934942,0.10297686430951956,0.5040328807532476
1,2,420,0.11,0.05,181.1558194584393,0.08190218680329786,0.605534777921123
1,2,420,0.12,0.05,134.9169629057165,0.06091483716460741,0.706616078179393
1,2,420,0.13,0.05,89.95072877499146,0.06402560254145463,0.6916337095381212
1,2,420,0.14,0.05,45.54758373278134,0.06390815167751115,0.6921993877322832
1,2,420,0.15,0.05,10.140126308415407,0.06507389818440756,0.6865848068196274
1,2,420,0.16,0.05,10.10779916696113,0.06495754261969373,0.6871452097278573
