i,j,delta,beta,priority,integral,max_delta,pi,L_x,v_x,w_x,q_max_x,rho_max_x,L_y,v_y,w_y,q_max_y,rho_max_y
1,2,120,0.2,0.05,10.074,0.0639922,0.691795,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,180,0.01,0.05,504.349,0.207631,-1.31869e-05,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,180,0.02,0.05,503.213,0.20764,-5.38299e-05,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,180,0.03,0.05,502.106,0.207654,-0.000123628,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,180,0.04,0.05,501.024,0.207675,-0.000224387,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,180,0.05,0.05,499.741,0.207628,0,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,180,0.06,0.05,444.735,0.186608,0.101243,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,180,0.07,0.05,388.987,0.165632,0.202269,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,180,0.08,0.05,334.545,0.144686,0.30315,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,180,0.09,0.05,282.172,0.123847,0.403516,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,180,0.1,0.05,231.498,0.102977,0.504033,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,180,0.11,0.05,182.651,0.0819022,0.605535,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,180,0.12,0.05,135.769,0.0649061,0.687393,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,180,0.13,0.05,90.383,0.0671477,0.676597,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,180,0.14,0.05,45.7918,0.0660674,0.6818,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,180,0.15,0.05,10.064,0.0661772,0.681271,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,180,0.16,0.05,10.0225,0.0644868,0.689413,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,180,0.17,0.05,9.99992,0.065113,0.686396,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,180,0.18,0.05,9.95532,0.0640746,0.691398,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,180,0.19,0.05,9.92752,0.0652753,0.685615,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,180,0.2,0.05,9.89145,0.0615356,0.703626,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,240,0.01,0.05,503.732,0.207628,4.41141e-15,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,240,0.02,0.05,501.992,0.207628,4.19752e-13,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,240,0.03,0.05,500.292,0.207628,7.70018e-12,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,240,0.04,0.05,498.626,0.20778,-0.000731792,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,240,0.05,0.05,496.63,0.207628,1.87151e-15,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,240,0.06,0.05,443.133,0.186608,0.101243,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,240,0.07,0.05,388.168,0.165632,0.202269,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,240,0.08,0.05,334.418,0.144686,0.30315,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,240,0.09,0.05,282.123,0.123847,0.403516,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,240,0.1,0.05,231.447,0.102977,0.504033,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,240,0.11,0.05,182.605,0.0819022,0.605535,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,240,0.12,0.05,135.71,0.0636618,0.693386,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,240,0.13,0.05,90.3279,0.0662389,0.680974,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,240,0.14,0.05,45.7466,0.0664479,0.679967,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,240,0.15,0.05,10.0092,0.0648973,0.687435,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,240,0.16,0.05,9.9738,0.0654826,0.684616,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,240,0.17,0.05,9.92885,0.0643156,0.690237,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,240,0.18,0.05,9.88109,0.0653176,0.685411,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,240,0.19,0.05,9.83754,0.0628885,0.697111,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,240,0.2,0.05,9.82056,0.0641476,0.691046,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,300,0.01,0.05,502.988,0.207628,2.44348e-09,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,300,0.02,0.05,500.526,0.207628,4.86797e-09,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,300,0.03,0.05,498.129,0.207628,6.6251e-09,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,300,0.04,0.05,495.781,0.208125,-0.00239038,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,300,0.05,0.05,492.938,0.207628,1.27372e-08,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,300,0.06,0.05,440.86,0.186608,0.101243,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,300,0.07,0.05,386.582,0.165632,0.202269,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,300,0.08,0.05,333.531,0.144686,0.30315,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,300,0.09,0.05,281.904,0.123847,0.403516,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,300,0.1,0.05,231.429,0.102977,0.504033,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,300,0.11,0.05,182.594,0.0819022,0.605535,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,300,0.12,0.05,135.708,0.0633519,0.694878,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,300,0.13,0.05,90.3272,0.0656772,0.683679,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,300,0.14,0.05,45.7527,0.0660015,0.682117,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,300,0.15,0.05,10.0369,0.0658122,0.683029,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,300,0.16,0.05,10.0018,0.0652248,0.685858,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,300,0.17,0.05,9.96689,0.0653527,0.685242,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,300,0.18,0.05,9.92684,0.062456,0.699193,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,300,0.19,0.05,9.88914,0.0647134,0.688321,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,300,0.2,0.05,9.8511,0.0638458,0.6925,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,360,0.01,0.05,502.111,0.207357,0.0013054,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,360,0.02,0.05,498.807,0.207081,0.0026372,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,360,0.03,0.05,495.584,0.20758,0.000234118,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,360,0.04,0.05,492.432,0.208516,-0.00427347,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,360,0.05,0.05,488.596,0.206767,0.00414955,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,360,0.06,0.05,437.838,0.186608,0.101243,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,360,0.07,0.05,384.153,0.165632,0.202269,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,360,0.08,0.05,331.701,0.144686,0.30315,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,360,0.09,0.05,280.673,0.123847,0.403516,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,360,0.1,0.05,230.811,0.102977,0.504033,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,360,0.11,0.05,182.424,0.0819022,0.605535,0.61,103,40,1933,67,0.23,103,37,1976,73
1,2,360,0.12,0.05,135.722,0.0622203,0.700329,0.61,103,40,1933,67,0.23,103,37,1976,73
