generation;i;j;delta;beta;integral;pi;fitness
4;1;3;416;0.11047571371444063;199.86334754947097;0.23152119913538532;9633.842629803446
4;1;6;354;0.18813589412363368;197.18871364979213;0.20963222671415208;9263.92869396372
4;1;4;459;0.18813589412363368;191.4685138299504;0.18650985542292348;8952.987947521091
4;1;6;416;0.018517528277962002;286.3223586198956;0.17577864338884522;7008.139794160534
5;1;4;679;0.11765125437305074;201.34791869978676;0.20854885790047648;9137.50478073116
5;1;11;372;0.18813589412363368;215.87123433929506;0.16846816552836413;8001.75448144581
5;1;6;416;0.17134459855172773;196.7975224360738;0.22156205488911188;9512.605881349737
5;1;3;416;0.11148584803588664;199.57938401915263;0.23200492539031164;9650.63606865989
5;1;6;447;0.18813589412363368;195.21341636750142;0.19949552299888954;9112.50919631381
5;1;4;372;0.17939228132508964;192.32220572808487;0.22560021876207725;9711.611961969476
5;1;12;416;0.18813589412363368;434.1191746812495;0.1693524157700745;5690.563244762181
5;1;4;697;0.18813589412363368;192.08267404992094;0.11756041767585945;7557.299974982783
5;3;4;679;0.18302443381514893;193.61281361970944;0.2136223139010868;9437.393686741187
5;1;4;372;0.07226701672330767;221.635937422031;0.19397549248054805;8391.413522054825
6;1;4;679;0.14776528598067332;197.46083135017182;0.21791374400938732;9422.570382046677
6;1;4;372;0.028193158652045594;273.17504568510503;0.17932222585424518;7247.10099283314
6;3;4;372;0.17939228132508964;190.74351221400138;0.22188302018017186;9680.302674330145
6;1;4;539;0.18813589412363368;195.8000551645327;0.157155438119;8250.359621730833
6;1;6;679;0.18302443381514893;197.21223856348203;0.21976425896617666;9465.96439925492
6;1;4;372;0.088286428938425;213.73302098806172;0.1990437371572248;8659.608966696485
6;2;4;416;0.18813589412363368;193.42976900414462;0.23544575291840317;9878.750110895955
6;1;12;372;0.18813589412363368;437.7973401171103;0.1693524157700745;5671.210205769534
6;1;4;679;0.04390478219552647;229.08445637116904;0.18450387161298884;8055.279750394238
6;1;11;679;0.18813589412363368;216.27842355738179;0.17162523026688553;8056.174334161518
6;1;4;300;0.17939228132508964;197.63752420163033;0.22067198288003587;9473.207553599037
